"DAF-25","Name","Notes","rowId"
"{""value"":""I believe this question’s sentiment rests heavily on “deeper”? for example more General/Generic, most Motivating, most Meaningful, ??? Seems like many possible ways of one’s frame on “deepest” and this could strongly flavor how one considers the question. \nMost inclusive value. From the deepest point of view. ""}","{""value"":""What is your deepest value in life, which includes all of your other values?""}","{""value"":{""type"":""canvas"",""canvasUri"":""canvases/grid-i6xmIB12t5::i-Vq4E7Ju-UI::c-Kyul7M91LH""}}","i-Vq4E7Ju-UI"
"{""value"":""Truth as [Interaction with] (Situational, Operational, Empirical) Actuality.\nPragmatic Scientific Realism w.r.t. “Minute Particulars” (how it is [for how it is {that/which} it is) including those of generalities/abstractions. ""}","{""value"":""What is your personal relationship with truth, which is to say, what does truth mean for you practically?  ""}","{""value"":{""type"":""canvas"",""canvasUri"":""canvases/grid-i6xmIB12t5::i-1Pl-i1xLJe::c-Kyul7M91LH""}}","i-1Pl-i1xLJe"
"{""value"":{""root"":{""children"":[{""id"":""cl-uHF37oDX8i"",""type"":""Line"",""style"":""Paragraph"",""children"":[{""text"":""Many ""},{""id"":""esv-gWK2oIqz_W"",""type"":""InlineStructuredValue"",""value"":{""type"":""objref"",""refType"":""canvas"",""objectId"":""canvas-cR2J9mLmih""},""children"":[{""text"":""""}]},{""text"":"" across personal, organizational, scientific, artistic scales..... To focus for the year initially; ""}],""alignment"":""Left"",""lineLevel"":0},{""id"":""cl-fclTldDHFE"",""type"":""Line"",""style"":""BulletedList"",""children"":[{""text"":""""},{""id"":""esv-pHX6E7hPY6"",""type"":""InlineStructuredValue"",""value"":{""type"":""objref"",""refType"":""canvas"",""objectId"":""canvas-o2SlaIR30W""},""children"":[{""text"":""""}]},{""text"":"": How can ""},{""id"":""esv-UvdjxlLnhC"",""type"":""InlineStructuredValue"",""value"":{""type"":""objref"",""refType"":""canvas"",""objectId"":""canvas-8I4S618O5l""},""children"":[{""text"":""""}]},{""text"":"" / ""},{""id"":""esv-yV0JlWiIR3"",""type"":""InlineStructuredValue"",""value"":{""type"":""objref"",""refType"":""canvas"",""objectId"":""canvas-2vzaNHOpaM""},""children"":[{""text"":""""}]},{""text"":"" apply to different sorts of ""},{""id"":""esv-7HL1M19LeN"",""type"":""InlineStructuredValue"",""value"":{""type"":""objref"",""refType"":""canvas"",""objectId"":""canvas-xAG5jjvM3E""},""children"":[{""text"":""""}]},{""text"":"" (#""},{""id"":""esv-XWlAbu_h2x"",""type"":""InlineStructuredValue"",""value"":{""type"":""objref"",""refType"":""canvas"",""objectId"":""canvas-Jr6QKvOq4x""},""children"":[{""text"":""""}]},{""text"":"")? ""}],""alignment"":""Left"",""lineLevel"":0},{""id"":""cl-nFCO3jAL1T"",""type"":""Line"",""style"":""BulletedList"",""children"":[{""text"":""Personal research projects: ""}],""alignment"":""Left"",""lineLevel"":0},{""id"":""cl-Pr4vAK2D1O"",""type"":""Line"",""style"":""BulletedList"",""children"":[{""text"":""""},{""id"":""esv-4tm6NWmDUP"",""type"":""InlineStructuredValue"",""value"":{""name"":""1/7/2025"",""type"":""ref"",""objectId"":""grid-O8e6yxDvz5"",""identifier"":""i-D0N2C8J8Me""},""children"":[{""text"":""""}]},{""text"":"" ""}],""alignment"":""Left"",""lineLevel"":1},{""id"":""cl-R-ZYFSAQ5r"",""type"":""Line"",""style"":""Paragraph"",""children"":[{""text"":"" ""}],""alignment"":""Left"",""lineLevel"":0}]},""type"":""slate""}}","{""value"":""What is a question that you don't know the answer to, but wish to investigate, so as to discover the answer? ""}","{""value"":{""type"":""canvas"",""canvasUri"":""canvases/grid-i6xmIB12t5::i-Wk7ForPQ1v::c-Kyul7M91LH""}}","i-Wk7ForPQ1v"
"{""value"":""How indeed!""}","{""value"":""How are you investigating that or how would you like to?  ""}","{""value"":{""type"":""canvas"",""canvasUri"":""canvases/grid-i6xmIB12t5::i-pM69PPPO__::c-Kyul7M91LH""}}","i-pM69PPPO__"
"{""value"":""Orientation of the attentional regimes, towards personal/multiscale Pareto frontiers, in 2025, for seeing the forest and/for/within the tree(s).  ""}","{""value"":""And what commitments, timewise, would you make to work on your questions, and also, to think about the big picture in life?""}","{""value"":{""type"":""canvas"",""canvasUri"":""canvases/grid-i6xmIB12t5::i-_uV-2Alne6::c-Kyul7M91LH""}}","i-_uV-2Alne6"
"{""value"":""""}","{""value"":""Would we devote our best energies to such contemplations?""}","{""value"":{""type"":""canvas"",""canvasUri"":""canvases/grid-i6xmIB12t5::i-dEUCn6wD6W::c-Kyul7M91LH""}}","i-dEUCn6wD6W"
"{""value"":""""}","{""value"":""Do we wish to live, behave, walk towards a universal culture that we share with all in all circumstances? ""}","{""value"":{""type"":""canvas"",""canvasUri"":""canvases/grid-i6xmIB12t5::i-zM6UPH7NAH::c-Kyul7M91LH""}}","i-zM6UPH7NAH"
"{""value"":""""}","{""value"":""Do we wish to experience our own lives as persons-in-general, doing what any good person would do in our circumstances, or as persons-in-particular, attached to what makes us distinct and special? ""}","{""value"":{""type"":""canvas"",""canvasUri"":""canvases/grid-i6xmIB12t5::i-uq5UbZtsIT::c-Kyul7M91LH""}}","i-uq5UbZtsIT"
"{""value"":""""}","{""value"":""Do we wish to think that we personally are the pinnacle, the end-all and be-all, or do we hope that there may be something greater that transcends us?""}","{""value"":{""type"":""canvas"",""canvasUri"":""canvases/grid-i6xmIB12t5::i-hx7-nMa56C::c-Kyul7M91LH""}}","i-hx7-nMa56C"
"{""value"":""""}","{""value"":""Do we allow the world to do its own thing or do we aspire to impact it? and its people? its beings? ""}","{""value"":{""type"":""canvas"",""canvasUri"":""canvases/grid-i6xmIB12t5::i-URX9hoi70V::c-Kyul7M91LH""}}","i-URX9hoi70V"
"{""value"":""""}","{""value"":""Do we have any way to make sense of all of this? I think these are personal questions that we answer with for ourselves, or rather, that we ever grapple with, as much as we live.""}","{""value"":{""type"":""canvas"",""canvasUri"":""canvases/grid-i6xmIB12t5::i-_KogebywXd::c-Kyul7M91LH""}}","i-_KogebywXd"
"{""value"":""""}","{""value"":{""root"":{""children"":[{""id"":""cl-i0EzgmNYZ3"",""type"":""Line"",""style"":""Paragraph"",""children"":[{""text"":""What is ""},{""id"":""esv-X-TlxqvMaE"",""type"":""InlineStructuredValue"",""value"":{""type"":""objref"",""refType"":""canvas"",""objectId"":""canvas-1T-Yxf1BFH""},""children"":[{""text"":""""}]},{""text"":""? ""}],""alignment"":""Left"",""lineLevel"":0}]},""type"":""slate""}}","{""value"":{""type"":""canvas"",""canvasUri"":""canvases/grid-i6xmIB12t5::i-Gg6WsgoBdH::c-Kyul7M91LH""}}","i-Gg6WsgoBdH"
"{""value"":""""}","{""value"":""What's the point of truth?""}","{""value"":{""type"":""canvas"",""canvasUri"":""canvases/grid-i6xmIB12t5::i-IDNfGM9Ctd::c-Kyul7M91LH""}}","i-IDNfGM9Ctd"
"{""value"":""""}","{""value"":{""root"":{""children"":[{""id"":""cl-Smcz5dcah0"",""type"":""Line"",""style"":""Paragraph"",""children"":[{""text"":""What is our ""},{""id"":""esv-xOlUrjKF0S"",""type"":""InlineStructuredValue"",""value"":{""type"":""objref"",""refType"":""canvas"",""objectId"":""canvas-LJftbZHKAF""},""children"":[{""text"":""""}]},{""text"":""?""}],""alignment"":""Left"",""lineLevel"":0}]},""type"":""slate""}}","{""value"":{""type"":""canvas"",""canvasUri"":""canvases/grid-i6xmIB12t5::i-Uf1Wzx5Kpn::c-Kyul7M91LH""}}","i-Uf1Wzx5Kpn"
"{""value"":""""}","{""value"":""How can we model the dynamics of our inner life?""}","{""value"":{""type"":""canvas"",""canvasUri"":""canvases/grid-i6xmIB12t5::i-3tjWpJ-cq9::c-Kyul7M91LH""}}","i-3tjWpJ-cq9"
"{""value"":""""}","{""value"":""What should a model serve for?""}","{""value"":{""type"":""canvas"",""canvasUri"":""canvases/grid-i6xmIB12t5::i-mDcNSCR3yo::c-Kyul7M91LH""}}","i-mDcNSCR3yo"
"{""value"":""""}","{""value"":""Are we serving our stomachs? or who?""}","{""value"":{""type"":""canvas"",""canvasUri"":""canvases/grid-i6xmIB12t5::i-itPViliLQ3::c-Kyul7M91LH""}}","i-itPViliLQ3"
"{""value"":""""}","{""value"":""What are the enabling conditions for symbolic coherence?""}","{""value"":{""type"":""canvas"",""canvasUri"":""canvases/grid-i6xmIB12t5::i-JbWqOjqVpX::c-Kyul7M91LH""}}","i-JbWqOjqVpX"
"{""value"":""""}","{""value"":""What bottom-up data would be meaningful for us to learn from?""}","{""value"":{""type"":""canvas"",""canvasUri"":""canvases/grid-i6xmIB12t5::i-oRTzSxmFTP::c-Kyul7M91LH""}}","i-oRTzSxmFTP"
