"Column 3","Name","Notes","Perspective","rowId"
"{""value"":""""}","{""value"":"", within this issue: The limitations of current theories of consciousness, a perceived need of a radical new approach, and the strictures of the academic environment which disallow absolute truth.""}","{""value"":{""type"":""canvas"",""canvasUri"":""canvases/grid-KNTqxU8ewZ::i-Eofe1hqOcA::c-P3zItpdi3w""}}","{""value"":""Sociologically""}","i-Eofe1hqOcA"
"{""value"":""""}","{""value"":"", for this paper: Presenting an alternative based on grounds for absolute truth, removing personal experience and conceptual language, thus having both robustly, and systematizing the contexts that relate them, with the conscious experiencing the part and the unconscious providing the whole.""}","{""value"":{""type"":""canvas"",""canvasUri"":""canvases/grid-KNTqxU8ewZ::i-qRtBAUmK0x::c-P3zItpdi3w""}}","{""value"":""Strategically""}","i-qRtBAUmK0x"
"{""value"":""""}","{""value"":"", my approach: My quest to know everything and apply that knowledge usefully. My approach. The phenomenology (and existentialism, structuralism, pragmatism) of human experience, including consciousness. How I was led to the significance of conceptual structures.""}","{""value"":{""type"":""canvas"",""canvasUri"":""canvases/grid-KNTqxU8ewZ::i-tjnwr8sb4K::c-P3zItpdi3w""}}","{""value"":""Personally""}","i-tjnwr8sb4K"
"{""value"":""""}","{""value"":"", a reconsideration: A review of the critique of introspection. I consider specifically the introspection of the available perspectives that I can take in a given frame of mind, without changing the context. Relating the part and the whole.""}","{""value"":{""type"":""canvas"",""canvasUri"":""canvases/grid-KNTqxU8ewZ::i-qgNuEypGIP::c-P3zItpdi3w""}}","{""value"":""Intuitively""}","i-qgNuEypGIP"
"{""value"":""""}","{""value"":"": Divisions of everything. Three operations on divisions of everything.""}","{""value"":{""type"":""canvas"",""canvasUri"":""canvases/grid-KNTqxU8ewZ::i-ej7sntUhw3::c-P3zItpdi3w""}}","{""value"":""Descriptively""}","i-ej7sntUhw3"
"{""value"":""""}","{""value"":"": Examples of the divisions and the three minds.""}","{""value"":{""type"":""canvas"",""canvasUri"":""canvases/grid-KNTqxU8ewZ::i-pUwIupWDuD::c-P3zItpdi3w""}}","{""value"":""Culturally""}","i-pUwIupWDuD"
"{""value"":""""}","{""value"":"": Observing these structures in advanced mathematics.""}","{""value"":{""type"":""canvas"",""canvasUri"":""canvases/grid-KNTqxU8ewZ::i-sZEAGJBBwf::c-P3zItpdi3w""}}","{""value"":""Mathematically""}","i-sZEAGJBBwf"
"{""value"":""""}","{""value"":"": Interpreting the brain in terms of requirements and implementations.""}","{""value"":{""type"":""canvas"",""canvasUri"":""canvases/grid-KNTqxU8ewZ::i-iCHeTPdvRE::c-P3zItpdi3w""}}","{""value"":""Neurologically""}","i-iCHeTPdvRE"
"{""value"":""""}","{""value"":"": Distinguishing the three minds by systematizing the ways of figuring things out.""}","{""value"":{""type"":""canvas"",""canvasUri"":""canvases/grid-KNTqxU8ewZ::i-pnFXmx5WLt::c-P3zItpdi3w""}}","{""value"":""Epistemologically""}","i-pnFXmx5WLt"
"{""value"":""""}","{""value"":"": Systematizing the epistemology of an ant colony and distinguishing its three minds. Considering the hierarchy of agency and hypothesizing the eight mental states of the ant colony.""}","{""value"":{""type"":""canvas"",""canvasUri"":""canvases/grid-KNTqxU8ewZ::i-Tq0c79vVp-::c-P3zItpdi3w""}}","{""value"":""Academically""}","i-Tq0c79vVp-"
